id,name,slug,type,category,area,description,detailedDescription,image1,image1Desc,image1FileId,image2,image2Desc,image2FileId,image3,image3Desc,image3FileId,website,phone,address,authorName,publishedDate,modifiedDate,directionsLink,amenities,featured,googleMapsUrl
32,McDonald’s,mcdonalds,Restaurants,,Lovingston,"McDonald’s in Lovingston serves breakfast, lunch, and dinner daily with extended hours to midnight on Fridays and Saturdays along Route 29.","McDonald’s in Lovingston serves breakfast, lunch, and dinner daily with extended hours to midnight on Fridays and Saturdays along Route 29.",https://ik.imagekit.io/OE/nelson-county/listings/mcdonald-s-image1_xLvXtaYOs,Exterior view of McDonald’s,,,,,,,,,(434) 263-8066,"44 Callohill Drive, Lovingston, VA 22949",josh,,,https://www.google.com/maps/dir/?api=1&destination=44%20Callohill%20Drive%2C%20Lovingston%2C%20VA%2022949,Takeout; Breakfast; Lunch; Dinner,false,https://www.google.com/maps/dir/?api=1&destination=44%20Callohill%20Drive%2C%20Lovingston%2C%20VA%2022949
33,Montebello Country Store & Cafe,montebello-country-store-cafe,Restaurants,,Montebello,"Montebello Country Store & Cafe is a fifth-generation general store near Crabtree Falls with groceries, camping supplies, and a cafe serving chili and country fare.","Montebello Country Store & Cafe is a fifth-generation general store near Crabtree Falls with groceries, camping supplies, and a cafe serving chili and country fare.",https://ik.imagekit.io/OE/nelson-county/listings/montebello-country-store-cafe-image1_D_nYeoKbj,Exterior of Montebello Country Store & Cafe restaurant,,,,,,,,,(540) 377-2650,"15072 Crabtree Falls Highway, Montebello, VA 24464",josh,,,https://www.google.com/maps/dir/?api=1&destination=15072%20Crabtree%20Falls%20Highway%2C%20Montebello%2C%20VA%2024464,Retail; Family Friendly; Water Sports,false,https://www.google.com/maps/dir/?api=1&destination=15072%20Crabtree%20Falls%20Highway%2C%20Montebello%2C%20VA%2024464
34,Paulie's Pig Out,paulies-pig-out,Restaurants,,Afton,"Paulie’s Pig Out is an Afton barbecue joint serving smoked pork and chicken platters, classic sides, and homemade desserts along Route 151.","Paulie’s Pig Out is an Afton barbecue joint serving smoked pork and chicken platters, classic sides, and homemade desserts along Route 151.",https://ik.imagekit.io/OE/nelson-county/listings/paulie-s-pig-out-image1_8dXrFbPav,Exterior view of Paulie's Pig Out,,,,,,,,,(434) 361-2001,"7376 Rockfish Valley Highway, Afton, VA 22920",josh,,,https://www.google.com/maps/dir/?api=1&destination=7376%20Rockfish%20Valley%20Highway%2C%20Afton%2C%20VA%2022920,BBQ,false,https://www.google.com/maps/dir/?api=1&destination=7376%20Rockfish%20Valley%20Highway%2C%20Afton%2C%20VA%2022920
35,Smokin’ Barrel Restaurant,smokin-barrel-restaurant,Restaurants,,Arrington,"Smokin’ Barrel Restaurant operates inside Blue Mountain Barrel House with pub fare, BBQ plates, burgers, soups, and desserts for taproom guests.","Smokin’ Barrel Restaurant operates inside Blue Mountain Barrel House with pub fare, BBQ plates, burgers, soups, and desserts for taproom guests.",https://ik.imagekit.io/OE/nelson-county/listings/smokin-barrel-restaurant-image1_O6_IquE9r,Exterior of Smokin’ Barrel Restaurant restaurant,,,,,,,,,(434) 226-2450,"495 Cooperative Way, Arrington, VA 22922",josh,,,https://www.google.com/maps/dir/?api=1&destination=495%20Cooperative%20Way%2C%20Arrington%2C%20VA%2022922,Beer; Scenic Views; BBQ; Bar; Family Friendly; Full Kitchen,false,https://www.google.com/maps/dir/?api=1&destination=495%20Cooperative%20Way%2C%20Arrington%2C%20VA%2022922
36,The Copper Mine Bistro,the-copper-mine-bistro,Restaurants,,Roseland,"The Copper Mine Bistro anchors Wintergreen’s Blackrock Village with traditional breakfast, Mediterranean-inspired dinners, and weekend lunches during ski season.","The Copper Mine Bistro anchors Wintergreen’s Blackrock Village with traditional breakfast, Mediterranean-inspired dinners, and weekend lunches during ski season.",https://ik.imagekit.io/OE/nelson-county/listings/the-copper-mine-bistro-image1_3GowztWtV,Exterior view of The Copper Mine Bistro,,https://ik.imagekit.io/OE/nelson-county/listings/the-copper-mine-bistro-image2_QsKokoOVE,Interior view of The Copper Mine Bistro,,,,,,(434) 325-8090,"39 Wintergreen Drive, Roseland, VA 22967",josh,,,https://www.google.com/maps/dir/?api=1&destination=39%20Wintergreen%20Drive%2C%20Roseland%2C%20VA%2022967,Breakfast; Lunch; Seasonal Menu; Dinner,false,https://www.google.com/maps/dir/?api=1&destination=39%20Wintergreen%20Drive%2C%20Roseland%2C%20VA%2022967
37,The Edge,the-edge,Restaurants,,Wintergreen Resort,"The Edge is Wintergreen’s casual slope-side restaurant with mountain views, hearty comfort food, and a lively bar with seasonal live music.","The Edge is Wintergreen’s casual slope-side restaurant with mountain views, hearty comfort food, and a lively bar with seasonal live music.",https://ik.imagekit.io/OE/nelson-county/listings/the-edge-image1_3m2oRzZrd,Exterior of The Edge restaurant,,,,,,,,,(434) 325-8080,"11 Grassy Ridge Road, Wintergreen, VA 22958",josh,,,https://www.google.com/maps/dir/?api=1&destination=11%20Grassy%20Ridge%20Road%2C%20Wintergreen%2C%20VA%2022958,Scenic Views; Snow Sports; Bar; Live Music; Seasonal Menu,false,https://www.google.com/maps/dir/?api=1&destination=11%20Grassy%20Ridge%20Road%2C%20Wintergreen%2C%20VA%2022958
38,The Farmhouse at Veritas,the-farmhouse-at-veritas,Restaurants,,Afton,"The Farmhouse at Veritas hosts four-course, wine-paired farm-to-table dinners Wednesday through Sunday in an intimate setting on the Veritas vineyard estate.","The Farmhouse at Veritas hosts four-course, wine-paired farm-to-table dinners Wednesday through Sunday in an intimate setting on the Veritas vineyard estate.",https://ik.imagekit.io/OE/nelson-county/listings/the-farmhouse-at-veritas-image1_LBC9TWPstE,Exterior view of The Farmhouse at Veritas,,,,,,,,,(540) 456-8100,"72 Saddleback Farm, Afton, VA 22920",josh,,,https://www.google.com/maps/dir/?api=1&destination=72%20Saddleback%20Farm%2C%20Afton%2C%20VA%2022920,Wine; Farm,false,https://www.google.com/maps/dir/?api=1&destination=72%20Saddleback%20Farm%2C%20Afton%2C%20VA%2022920
39,Vito’s Pizza & Italian Grill,vitos-pizza-italian-grill,Restaurants,,Lovingston,"Vito’s Pizza & Italian Grill is a family-owned Italian restaurant in Lovingston serving pizzas, pasta, and grill favorites rooted in chef Salvatore Mannino’s Sicilian heritage.","Vito’s Pizza & Italian Grill is a family-owned Italian restaurant in Lovingston serving pizzas, pasta, and grill favorites rooted in chef Salvatore Mannino’s Sicilian heritage.",https://ik.imagekit.io/OE/nelson-county/listings/vito-s-pizza-italian-grill-image1_qEDLQecPU,Exterior of Vito’s Pizza & Italian Grill restaurant,,,,,,,,,(434) 263-8688,"8181 Thomas Nelson Highway, Lovingston, VA 22949",josh,,,https://www.google.com/maps/dir/?api=1&destination=8181%20Thomas%20Nelson%20Highway%2C%20Lovingston%2C%20VA%2022949,Family Friendly; Pizza; Full Kitchen,false,https://www.google.com/maps/dir/?api=1&destination=8181%20Thomas%20Nelson%20Highway%2C%20Lovingston%2C%20VA%2022949
40,Black Bear Creamery,black-bear-creamery,Restaurants,,Nellysford,"Black Bear Creamery scoops homemade ice cream, shakes, and sundaes for locals and visitors in Nellysford.","Black Bear Creamery scoops homemade ice cream, shakes, and sundaes for locals and visitors in Nellysford.",https://ik.imagekit.io/OE/nelson-county/listings/black-bear-creamery-image1_NoSYfCv22,Exterior view of Black Bear Creamery,,,,,,,,,(434) 263-8916,"18 Pheasant Run, Nellysford, VA 22958",josh,,,https://www.google.com/maps/dir/?api=1&destination=18%20Pheasant%20Run%2C%20Nellysford%2C%20VA%2022958,Desserts; Family Friendly,false,https://www.google.com/maps/dir/?api=1&destination=18%20Pheasant%20Run%2C%20Nellysford%2C%20VA%2022958
41,Dickie Brothers Orchard,dickie-brothers-orchard,Farms & Orchards,,Roseland,"Century Farm orchard growing heirloom apples alongside berries, pumpkins, cider, and farm-made goods with pick-your-own seasons from summer through fall.","Century Farm orchard growing heirloom apples alongside berries, pumpkins, cider, and farm-made goods with pick-your-own seasons from summer through fall.",https://ik.imagekit.io/OE/nelson-county/listings/dickie-brothers-orchard-image1_mgGfsUOkW,Exterior of Dickie Brothers Orchard brewery,,https://ik.imagekit.io/OE/nelson-county/listings/dickie-brothers-orchard-image2_CzMZz9sVs,Taproom at Dickie Brothers Orchard,,,,,https://dickiebrothers.com/,(434) 277-5516,"2685 Dickie Road, Roseland, VA 22967",josh,,,https://www.google.com/maps/dir/?api=1&destination=2685%20Dickie%20Road%2C%20Roseland%2C%20VA%2022967,Farm; Cider; Local Ingredients,false,https://www.google.com/maps/dir/?api=1&destination=2685%20Dickie%20Road%2C%20Roseland%2C%20VA%2022967
42,Drumheller’s Orchard,drumhellers-orchard,Farms & Orchards,,Lovingston,"Family orchard and bakery showcasing classic Virginia apple varieties, house cider, and fall festivals with hayrides, baked goods, and pet-friendly grounds.","The apple packing shed showcases Red and Golden Delicious, Stayman, Winesap, Rome, York and Granny Smith, Black Twig and Albemarle Pippin varieties. Find pumpkins, cider, apple butter and honey too. Special events and festivals in the fall. Baked goods and many other farm products like honey, apple butter and ham round out the selection. Bus tours and school groups welcome – advance notice is appreciated. Pet-friendly.",https://ik.imagekit.io/OE/nelson-county/listings/drumheller-s-orchard-image1_lGFwTv4Vd,Exterior of Drumheller’s Orchard restaurant,,,,,,,,https://www.drumhellersorchard.com/,(434) 263-5036,"1130 Drumheller Orchard Lane, Lovingston, VA 22949",josh,,,https://www.google.com/maps/dir/?api=1&destination=1130%20Drumheller%20Orchard%20Lane%2C%20Lovingston%2C%20VA%2022949,Bakery; Cider; Farm; Pet Friendly; Local Ingredients,false,https://www.google.com/maps/dir/?api=1&destination=1130%20Drumheller%20Orchard%20Lane%2C%20Lovingston%2C%20VA%2022949
43,Saunders Brothers Farm Market,saunders-brothers-farm-market,Farms & Orchards,,Piney River,"Saunders Brothers’ farm market pairs homegrown peaches, apples, and nursery stock with a country shop featuring meats, baked goods, peach ice cream, and weekend events.","Saunders Brothers’ farm market pairs homegrown peaches, apples, and nursery stock with a country shop featuring meats, baked goods, peach ice cream, and weekend events.",https://ik.imagekit.io/OE/nelson-county/listings/saunders-brothers-farm-market-image1_f1AEM7MxN,Storefront of Saunders Brothers Farm Market,,,,,,,,https://www.saundersbrothers.com/,(434) 277-5455,"2717 Tye Brook Highway, Piney River, VA 22964",josh,,,https://www.google.com/maps/dir/?api=1&destination=2717%20Tye%20Brook%20Highway%2C%20Piney%20River%2C%20VA%2022964,Farm; Market; Desserts; Bakery; Local Ingredients; Family Friendly,false,https://www.google.com/maps/dir/?api=1&destination=2717%20Tye%20Brook%20Highway%2C%20Piney%20River%2C%20VA%2022964
44,Blue Mountain Barrel House,blue-mountain-barrel-house,Breweries & Cideries,,Arrington,"Production-focused Blue Mountain facility with one of the East Coast’s largest barrel-aging programs, a year-round tasting room, and sweeping Nelson County views.","Production-focused Blue Mountain facility with one of the East Coast’s largest barrel-aging programs, a year-round tasting room, and sweeping Nelson County views.",https://ik.imagekit.io/OE/nelson-county/listings/blue-mountain-barrel-house-image1_aohVkuJqX,Vineyard at Blue Mountain Barrel House,,,,,,,,https://www.bluemountainbarrel.com/,(434) 263-4002,"495 Cooperative Way, Arrington, VA 22922",josh,,,https://www.google.com/maps/dir/?api=1&destination=495%20Cooperative%20Way%2C%20Arrington%2C%20VA%2022922,Beer; Tastings; Seasonal Menu; Cider,false,https://www.google.com/maps/dir/?api=1&destination=495%20Cooperative%20Way%2C%20Arrington%2C%20VA%2022922
45,Blue Toad Hard Cider,blue-toad-hard-cider,Breweries & Cideries,,Roseland,Farm-based cidery crafting approachable Blue Ridge blends with a taproom at the base of Wintergreen and patio views of the orchard.,Farm-based cidery crafting approachable Blue Ridge blends with a taproom at the base of Wintergreen and patio views of the orchard.,https://ik.imagekit.io/OE/nelson-county/listings/blue-toad-hard-cider-image1_sCenJqzoN7,Exterior of Blue Toad Hard Cider brewery,,,,,,,,https://www.bluetoadhardcider.com/,(434) 760-9200,"462 Winery Lane, Roseland, VA 22967",josh,,,https://www.google.com/maps/dir/?api=1&destination=462%20Winery%20Lane%2C%20Roseland%2C%20VA%2022967,Cider; Farm; Outdoor Seating; Pet Friendly; Tastings; Scenic Views; Beer,false,https://www.google.com/maps/dir/?api=1&destination=462%20Winery%20Lane%2C%20Roseland%2C%20VA%2022967
46,Bold Rock Hard Cider,bold-rock-hard-cider,Breweries & Cideries,,Nellysford,"Nellysford’s riverside cidery offering tours, tastings, and cider cocktails from Bold Rock’s orchard-to-glass production campus.","Nellysford’s riverside cidery offering tours, tastings, and cider cocktails from Bold Rock’s orchard-to-glass production campus.",https://ik.imagekit.io/OE/nelson-county/listings/bold-rock-hard-cider-image1__h55RjVBl,Vineyard at Bold Rock Hard Cider,,,,,,,,https://boldrock.com/visit/nellysford-cidery/,(434) 361-1030,"1020 Rockfish Valley Highway, Nellysford, VA 22958",josh,,,https://www.google.com/maps/dir/?api=1&destination=1020%20Rockfish%20Valley%20Highway%2C%20Nellysford%2C%20VA%2022958,Cider; Cocktails; Bar; Live Music; Beer,false,https://www.google.com/maps/dir/?api=1&destination=1020%20Rockfish%20Valley%20Highway%2C%20Nellysford%2C%20VA%2022958
47,Brewing Tree Beer Company,brewing-tree-beer-company,Breweries & Cideries,,Afton,"Husband-and-wife brewery with a scratch kitchen, creekside beer garden, and rotating small-batch Virginia ales.","Husband-and-wife brewery with a scratch kitchen, creekside beer garden, and rotating small-batch Virginia ales.",https://ik.imagekit.io/OE/nelson-county/listings/brewing-tree-beer-company-image1_e43JZexL6,Exterior of Brewing Tree Beer Company brewery,,,,,,,,https://www.brewingtreebeerco.com/,(540) 381-0990,"9278 Rockfish Valley Highway, Afton, VA 22920",josh,,,https://www.google.com/maps/dir/?api=1&destination=9278%20Rockfish%20Valley%20Highway%2C%20Afton%2C%20VA%2022920,Beer; Family Friendly; Pet Friendly; Full Kitchen; Cider,false,https://www.google.com/maps/dir/?api=1&destination=9278%20Rockfish%20Valley%20Highway%2C%20Afton%2C%20VA%2022920
48,Bryant’s Cider & Brewery,bryants-cider-brewery,Breweries & Cideries,,Roseland,"Bryant’s pours heritage apple ciders and farm-brewed beers with a focus on natural ingredients, outdoor lawn games, and seasonal gatherings.","Bryant’s pours heritage apple ciders and farm-brewed beers with a focus on natural ingredients, outdoor lawn games, and seasonal gatherings.",https://ik.imagekit.io/OE/nelson-county/listings/bryant-s-cider-brewery-image1_Pl3ykVMup,Scenic view from Bryant’s Cider & Brewery,,,,,,,,https://www.bryantscider.com/,(804) 420-9683,"3224 East Branch Loop, Roseland, VA 22967",josh,,,https://www.google.com/maps/dir/?api=1&destination=3224%20East%20Branch%20Loop%2C%20Roseland%2C%20VA%2022967,Beer; Farm; Outdoor Seating; Seasonal Menu; Cider,false,https://www.google.com/maps/dir/?api=1&destination=3224%20East%20Branch%20Loop%2C%20Roseland%2C%20VA%2022967
49,Devils Backbone Brewing Company,devils-backbone-brewing-company,Breweries & Cideries,,Roseland,"Mountain basecamp brewery pouring award-winning lagers, cocktails, and distillery releases with expansive meadows and adventure-forward programming.","Mountain basecamp brewery pouring award-winning lagers, cocktails, and distillery releases with expansive meadows and adventure-forward programming.",https://ik.imagekit.io/OE/nelson-county/listings/devils-backbone-brewing-company-image1_xOCX-_l34,Exterior of Devils Backbone Brewing Company brewery,,,,,,,,https://www.dbbrewingcompany.com/,(434) 361-1001,"200 Crandall Run, Roseland, VA 22967",josh,,,https://www.google.com/maps/dir/?api=1&destination=200%20Crandall%20Run%2C%20Roseland%2C%20VA%2022967,Spirits; Adventure; Beer; Cider,false,https://www.google.com/maps/dir/?api=1&destination=200%20Crandall%20Run%2C%20Roseland%2C%20VA%2022967
50,Outback Brew House,outback-brew-house,Breweries & Cideries,,Lovingston,"Nano-brewery taproom in Lovingston pouring house recipes with plans for expanded outdoor seating, live music, and an onsite food truck.","Nano-brewery taproom in Lovingston pouring house recipes with plans for expanded outdoor seating, live music, and an onsite food truck.",https://ik.imagekit.io/OE/nelson-county/listings/outback-brew-house-image1_3mAJkqmbA,Exterior view of Outback Brew House,,,,,,,,https://www.outbackhouselodging.com/outback-brew-house/,(434) 263-0007,"7995 Thomas Nelson Hwy, Lovingston, VA 22949",josh,,,https://www.google.com/maps/dir/?api=1&destination=7995%20Thomas%20Nelson%20Hwy%2C%20Lovingston%2C%20VA%2022949,Outdoor Seating; Live Music; Beer; Cider,false,https://www.google.com/maps/dir/?api=1&destination=7995%20Thomas%20Nelson%20Hwy%2C%20Lovingston%2C%20VA%2022949
